cards,has_solution,num_solutions
3 4 4 13,Y,68
3 4 5 5,Y,32
3 4 5 6,Y,16
3 4 5 7,Y,78
3 4 5 8,Y,68
3 4 5 9,Y,20
3 4 5 10,Y,96
3 4 5 11,Y,12
3 4 5 12,Y,188
3 4 5 13,Y,32
3 4 6 6,Y,26
3 4 6 7,N,0
3 4 6 8,Y,38
3 4 6 9,Y,20
3 4 6 10,Y,54
3 4 6 11,Y,129
3 4 6 12,Y,126
3 4 6 13,Y,17
3 4 7 7,Y,40
3 4 7 8,Y,6
3 4 7 9,Y,34
3 4 7 10,Y,140
3 4 7 11,Y,36
3 4 7 12,Y,30
3 4 7 13,N,0
3 4 8 8,N,0
3 4 8 9,Y,144
3 4 8 10,Y,38
3 4 8 11,Y,35
3 4 8 12,Y,54
3 4 8 13,Y,9
3 4 9 9,Y,24
3 4 9 10,N,0
3 4 9 11,Y,14
3 4 9 12,Y,60
3 4 9 13,Y,16
3 4 10 10,Y,16
3 4 10 11,N,0
3 4 10 12,Y,27
3 4 10 13,Y,114
3 4 11 11,N,0
3 4 11 12,Y,100
3 4 11 13,Y,60
3 4 12 12,Y,14
3 4 12 13,Y,90
3 4 13 13,N,0
3 5 5 5,N,0
3 5 5 6,Y,6
3 5 5 7,Y,8
3 5 5 8,Y,142
3 5 5 9,Y,6
3 5 5 10,N,0
3 5 5 11,Y,60
3 5 5 12,Y,2
3 5 5 13,N,0
3 5 6 6,Y,18
3 5 6 7,Y,32
3 5 6 8,Y,30
3 5 6 9,Y,54
3 5 6 10,Y,124
3 5 6 11,Y,26
3 5 6 12,Y,30
3 5 6 13,Y,4
3 5 7 7,N,0
3 5 7 8,Y,30
3 5 7 9,Y,130
3 5 7 10,Y,26
3 5 7 11,Y,6
3 5 7 12,Y,28
3 5 7 13,Y,4
3 5 8 8,Y,66
3 5 8 9,Y,18
3 5 8 10,N,0
3 5 8 11,Y,32
3 5 8 12,Y,20
3 5 8 13,Y,8
3 5 9 9,Y,20
3 5 9 10,Y,22
3 5 9 11,N,0
3 5 9 12,Y,28
3 5 9 13,Y,102
3 5 10 10,Y,2
3 5 10 11,Y,18
3 5 10 12,Y,98
3 5 10 13,Y,28
3 5 11 11,Y,45
3 5 11 12,Y,8
3 5 11 13,N,0
3 5 12 12,Y,8
3 5 12 13,Y,12
3 5 13 13,Y,45
3 6 6 6,Y,20
3 6 6 7,Y,24
3 6 6 8,Y,140
3 6 6 9,Y,82
3 6 6 10,Y,2
3 6 6 11,Y,4
3 6 6 12,Y,50
3 6 6 13,Y,10
3 6 7 7,Y,12
3 6 7 8,Y,156
3 6 7 9,Y,40
3 6 7 10,Y,16
3 6 7 11,N,0
3 6 7 12,Y,20
3 6 7 13,Y,22
3 6 8 8,Y,24
3 6 8 9,Y,30
3 6 8 10,Y,16
3 6 8 11,N,0
